1000    avg = 67481.5   max = 171264
        256     100%    (0.3%)
        512     99.7%   (1.6%)
        1024    98.1%   (5.2%)
        2048    92.9%   (15.7%)
        4096    77.2%   (49.3%)
        8192    27.9%   (27.5%)
        16384   0.4%    (0.4%)
34000   avg = 84068.9   max = 247664
        128     100%    (0.1%)
        256     99.9%   (0.3%)
        512     99.6%   (1%)
        1024    98.6%   (5.9%)
        2048    92.7%   (15.4%)
        4096    77.3%   (44.3%)
        8192    33%     (32.9%)
        16384   0.1%    (0.1%)
35000   avg = 80870.9   max = 246092
        64      100%    (0.2%)
        128     99.8%   (0.1%)
        256     99.7%   (0.3%)
        512     99.4%   (1.5%)
        1024    97.9%   (5.2%)
        2048    92.7%   (15.8%)
        4096    76.9%   (49%)
        8192    27.9%   (27.8%)
        16384   0.1%    (0.1%)
36000   avg = 81717.4   max = 188668
        512     100%    (1%)
        1024    99%     (7.3%)
        2048    91.7%   (17.6%)
        4096    74.1%   (44%)
        8192    30.1%   (30.1%)
37000   avg = 82689.3   max = 217220
        128     100%    (0.1%)
        512     99.9%   (1.9%)
        1024    98%     (5.7%)
        2048    92.3%   (15.8%)
        4096    76.5%   (46.5%)
        8192    30%     (29.9%)
        16384   0.1%    (0.1%)
38000   avg = 81781.2   max = 196664
        128     100%    (0.1%)
        512     99.9%   (1.5%)
        1024    98.4%   (6.1%)
        2048    92.3%   (17.3%)
        4096    75%     (46%)
        8192    29%     (29%)
39000   avg = 82998.6   max = 247220
        32      100%    (0.1%)
        128     99.9%   (0.2%)
        256     99.7%   (0.2%)
        512     99.5%   (1.2%)
        1024    98.3%   (5.1%)
        2048    93.2%   (16.7%)
        4096    76.5%   (46.9%)
        8192    29.6%   (29.4%)
        16384   0.2%    (0.2%)
40000   avg = 84379.1   max = 244492
        256     100%    (0.3%)
        512     99.7%   (1.7%)
        1024    98%     (5.9%)
        2048    92.1%   (13.8%)
        4096    78.3%   (46.8%)
        8192    31.5%   (31.4%)
        16384   0.1%    (0.1%)
41000   avg = 82163.5   max = 247000
        256     100%    (0.3%)
        512     99.7%   (1.2%)
        1024    98.5%   (5.9%)
        2048    92.6%   (15.5%)
        4096    77.1%   (48.2%)
        8192    28.9%   (28.8%)
        16384   0.1%    (0.1%)
42000   avg = 84855     max = 290340
        256     100%    (0.3%)
        512     99.7%   (1.3%)
        1024    98.4%   (5.8%)
        2048    92.6%   (12.5%)
        4096    80.1%   (50.1%)
        8192    30%     (29.8%)
        16384   0.2%    (0.2%)
43000   avg = 84720.3   max = 199040
        256     100%    (0.3%)
        512     99.7%   (1.3%)
        1024    98.4%   (6.2%)
        2048    92.2%   (14.2%)
        4096    78%     (46.7%)
        8192    31.3%   (31.3%)
44000   avg = 82348.1   max = 188480
        256     100%    (0.4%)
        512     99.6%   (1.5%)
        1024    98.1%   (5.2%)
        2048    92.9%   (17.9%)
        4096    75%     (45.6%)
        8192    29.4%   (29.4%)
45000   avg = 84841.3   max = 230028
        256     100%    (0.4%)
        512     99.6%   (1.7%)
        1024    97.9%   (4.1%)
        2048    93.8%   (13.1%)
        4096    80.7%   (50.7%)
        8192    30%     (29.8%)
        16384   0.2%    (0.2%)
46000   avg = 85409.3   max = 239996
        256     100%    (0.1%)
        512     99.9%   (1.9%)
        1024    98%     (5.2%)
        2048    92.8%   (14.7%)
        4096    78.1%   (45.8%)
        8192    32.3%   (32.1%)
        16384   0.2%    (0.2%)
47000   avg = 87493.9   max = 193392
        256     100%    (0.4%)
        512     99.6%   (1.5%)
        1024    98.1%   (5.9%)
        2048    92.2%   (13.9%)
        4096    78.3%   (43%)
        8192    35.3%   (35.3%)
48000   avg = 84285.7   max = 229696
        64      100%    (0.2%)
        256     99.8%   (0.4%)
        512     99.4%   (1.1%)
        1024    98.3%   (5.8%)
        2048    92.5%   (15.2%)
        4096    77.3%   (46.2%)
        8192    31.1%   (31%)
        16384   0.1%    (0.1%)
49000   avg = 85962.4   max = 193912
        64      100%    (0.1%)
        512     99.9%   (1.3%)
        1024    98.6%   (6.3%)
        2048    92.3%   (15%)
        4096    77.3%   (45.6%)
        8192    31.7%   (31.7%)
50000   avg = 86368.8   max = 192052
        256     100%    (0.3%)
        512     99.7%   (1.3%)
        1024    98.4%   (5.9%)
        2048    92.5%   (12.4%)
        4096    80.1%   (47.5%)
        8192    32.6%   (32.6%)
51000   avg = 87594.8   max = 229300
        64      100%    (0.1%)
        256     99.9%   (0.3%)
        512     99.6%   (1.2%)
        1024    98.4%   (6.2%)
        2048    92.2%   (13.4%)
        4096    78.8%   (44.5%)
        8192    34.3%   (34.1%)
        16384   0.2%    (0.2%)
52000   avg = 86560.1   max = 187556
        256     100%    (0.2%)
        512     99.8%   (1.5%)
        1024    98.3%   (4.8%)
        2048    93.5%   (14.7%)
        4096    78.8%   (44.9%)
        8192    33.9%   (33.9%)
53000   avg = 88873     max = 192880
        256     100%    (0.5%)
        512     99.5%   (1.3%)
        1024    98.2%   (5.9%)
        2048    92.3%   (12.6%)
        4096    79.7%   (44.3%)
        8192    35.4%   (35.4%)
54000   avg = 89866.2   max = 286912
        256     100%    (0.1%)
        512     99.9%   (1.1%)
        1024    98.8%   (5.8%)
        2048    93%     (11.9%)
        4096    81.1%   (45.5%)
        8192    35.6%   (35.3%)
        16384   0.3%    (0.3%)
55000   avg = 84229.7   max = 227700
        128     100%    (0.1%)
        256     99.9%   (0.1%)
        512     99.8%   (1.4%)
        1024    98.4%   (6.9%)
        2048    91.5%   (14.1%)
        4096    77.4%   (46.6%)
        8192    30.8%   (30.6%)
        16384   0.2%    (0.2%)
56000   avg = 87986.6   max = 216956
        256     100%    (0.2%)
        512     99.8%   (1.6%)
        1024    98.2%   (5.5%)
        2048    92.7%   (13.2%)
        4096    79.5%   (43.9%)
        8192    35.6%   (35.5%)
        16384   0.1%    (0.1%)
57000   avg = 88473.1   max = 201992
        32      100%    (0.1%)
        128     99.9%   (0.1%)
        256     99.8%   (0.2%)
        512     99.6%   (1.2%)
        1024    98.4%   (4.4%)
        2048    94%     (14.7%)
        4096    79.3%   (44.9%)
        8192    34.4%   (34.4%)
58000   avg = 86296.9   max = 244752
        256     100%    (0.2%)
        512     99.8%   (1.7%)
        1024    98.1%   (5.9%)
        2048    92.2%   (12.8%)
        4096    79.4%   (46.8%)
        8192    32.6%   (32.3%)
        16384   0.3%    (0.3%)
59000   avg = 90655.7   max = 227812
        64      100%    (0.1%)
        256     99.9%   (0.2%)
        512     99.7%   (1.8%)
        1024    97.9%   (4.6%)
        2048    93.3%   (12.5%)
        4096    80.8%   (45.1%)
        8192    35.7%   (35.1%)
        16384   0.6%    (0.6%)
60000   avg = 87598.2   max = 225320
        256     100%    (0.2%)
        512     99.8%   (1.4%)
        1024    98.4%   (5.8%)
        2048    92.6%   (13%)
        4096    79.6%   (45.2%)
        8192    34.4%   (34.3%)
        16384   0.1%    (0.1%)
61000   avg = 88745.1   max = 261784
        64      100%    (0.1%)
        256     99.9%   (0.1%)
        512     99.8%   (1%)
        1024    98.8%   (6%)
        2048    92.8%   (12.3%)
        4096    80.5%   (45.9%)
        8192    34.6%   (34.5%)
        16384   0.1%    (0.1%)
62000   avg = 87510.2   max = 242760
        256     100%    (0.2%)
        512     99.8%   (2%)
        1024    97.8%   (5.2%)
        2048    92.6%   (13.6%)
        4096    79%     (45%)
        8192    34%     (33.9%)
        16384   0.1%    (0.1%)
63000   avg = 90641     max = 227080
        64      100%    (0.1%)
        256     99.9%   (0.3%)
        512     99.6%   (1.1%)
        1024    98.5%   (5.7%)
        2048    92.8%   (10.7%)
        4096    82.1%   (45.5%)
        8192    36.6%   (36.5%)
        16384   0.1%    (0.1%)
64000   avg = 87377.9   max = 240864
        256     100%    (0.2%)
        512     99.8%   (1.6%)
        1024    98.2%   (6.3%)
        2048    91.9%   (13.2%)
        4096    78.7%   (45.7%)
        8192    33%     (32.8%)
        16384   0.2%    (0.2%)
65000   avg = 89824.8   max = 262348
        256     100%    (0.1%)
        512     99.9%   (1.2%)
        1024    98.7%   (5.3%)
        2048    93.4%   (14.5%)
        4096    78.9%   (42.2%)
        8192    36.7%   (36.5%)
        16384   0.2%    (0.2%)
66000   avg = 86311.3   max = 194216
        64      100%    (0.1%)
        512     99.9%   (1.2%)
        1024    98.7%   (5.9%)
        2048    92.8%   (15.4%)
        4096    77.4%   (44.7%)
        8192    32.7%   (32.7%)
67000   avg = 89819.5   max = 246612
        256     100%    (0.2%)
        512     99.8%   (1.5%)
        1024    98.3%   (6%)
        2048    92.3%   (12%)
        4096    80.3%   (44.1%)
        8192    36.2%   (35.8%)
        16384   0.4%    (0.4%)
68000   avg = 91997.8   max = 253804
        256     100%    (0.3%)
        512     99.7%   (1.7%)
        1024    98%     (6%)
        2048    92%     (11.4%)
        4096    80.6%   (41.2%)
        8192    39.4%   (39.1%)
        16384   0.3%    (0.3%)
69000   avg = 90555.3   max = 245160
        256     100%    (0.2%)
        512     99.8%   (1.5%)
        1024    98.3%   (5.6%)
        2048    92.7%   (12.7%)
        4096    80%     (43.5%)
        8192    36.5%   (36.2%)
        16384   0.3%    (0.3%)
70000   avg = 89978.7   max = 245444
        16      100%    (0.1%)
        256     99.9%   (0.1%)
        512     99.8%   (1.3%)
        1024    98.5%   (4.8%)
        2048    93.7%   (13.7%)
        4096    80%     (44.3%)
        8192    35.7%   (35.6%)
        16384   0.1%    (0.1%)
71000   avg = 90263.7   max = 279540
        128     100%    (0.1%)
        256     99.9%   (0.3%)
        512     99.6%   (1.2%)
        1024    98.4%   (5.2%)
        2048    93.2%   (12.4%)
        4096    80.8%   (45.8%)
        8192    35%     (34.7%)
        16384   0.3%    (0.3%)
72000   avg = 90622     max = 240488
        64      100%    (0.1%)
        256     99.9%   (0.1%)
        512     99.8%   (1.2%)
        1024    98.6%   (4.7%)
        2048    93.9%   (12.6%)
        4096    81.3%   (46%)
        8192    35.3%   (35.1%)
        16384   0.2%    (0.2%)
73000   avg = 91863.2   max = 246608
        256     100%    (0.5%)
        512     99.5%   (1.4%)
        1024    98.1%   (5%)
        2048    93.1%   (12.2%)
        4096    80.9%   (43.1%)
        8192    37.8%   (37.7%)
        16384   0.1%    (0.1%)
74000   avg = 90249.4   max = 246576
        64      100%    (0.1%)
        256     99.9%   (0.1%)
        512     99.8%   (1.4%)
        1024    98.4%   (5.3%)
        2048    93.1%   (12%)
        4096    81.1%   (45.2%)
        8192    35.9%   (35.5%)
        16384   0.4%    (0.4%)
75000   avg = 89247.7   max = 229160
        256     100%    (0.3%)
        512     99.7%   (1.6%)
        1024    98.1%   (5.5%)
        2048    92.6%   (12.9%)
        4096    79.7%   (44.9%)
        8192    34.8%   (34.5%)
        16384   0.3%    (0.3%)
76000   avg = 90746.1   max = 234568
        64      100%    (0.1%)
        256     99.9%   (0.2%)
        512     99.7%   (1.1%)
        1024    98.6%   (5.5%)
        2048    93.1%   (12.6%)
        4096    80.5%   (44.3%)
        8192    36.2%   (35.9%)
        16384   0.3%    (0.3%)
77000   avg = 91102.6   max = 241480
        256     100%    (0.3%)
        512     99.7%   (1.1%)
        1024    98.6%   (5.1%)
        2048    93.5%   (12.1%)
        4096    81.4%   (45.1%)
        8192    36.3%   (36.1%)
        16384   0.2%    (0.2%)
78000   avg = 92363.3   max = 288612
        128     100%    (0.1%)
        256     99.9%   (0.4%)
        512     99.5%   (1.8%)
        1024    97.7%   (5.1%)
        2048    92.6%   (12.9%)
        4096    79.7%   (41.1%)
        8192    38.6%   (38.2%)
        16384   0.4%    (0.4%)
79000   avg = 93121.9   max = 287984
        512     100%    (2.1%)
        1024    97.9%   (4.1%)
        2048    93.8%   (12.8%)
        4096    81%     (42.1%)
        8192    38.9%   (38.5%)
        16384   0.4%    (0.4%)
80000   avg = 91675.8   max = 228844
        256     100%    (0.2%)
        512     99.8%   (1.4%)
        1024    98.4%   (6.9%)
        2048    91.5%   (12.2%)
        4096    79.3%   (41.3%)
        8192    38%     (37.6%)
        16384   0.4%    (0.4%)
81000   avg = 93259.5   max = 263516
        256     100%    (0.4%)
        512     99.6%   (1.1%)
        1024    98.5%   (5.6%)
        2048    92.9%   (11.5%)
        4096    81.4%   (43.4%)
        8192    38%     (37.9%)
        16384   0.1%    (0.1%)
82000   avg = 93361.8   max = 232360
        64      100%    (0.1%)
        256     99.9%   (0.2%)
        512     99.7%   (1.4%)
        1024    98.3%   (4.8%)
        2048    93.5%   (12.1%)
        4096    81.4%   (41.6%)
        8192    39.8%   (39.6%)
        16384   0.2%    (0.2%)
83000   avg = 94702.3   max = 242452
        256     100%    (0.2%)
        512     99.8%   (1.8%)
        1024    98%     (3.3%)
        2048    94.7%   (11.6%)
        4096    83.1%   (43.6%)
        8192    39.5%   (39.1%)
        16384   0.4%    (0.4%)
84000   avg = 93919.9   max = 218984
        512     100%    (1.4%)
        1024    98.6%   (5.7%)
        2048    92.9%   (10.3%)
        4096    82.6%   (43%)
        8192    39.6%   (39.4%)
        16384   0.2%    (0.2%)
85000   avg = 92250.3   max = 212000
        64      100%    (0.1%)
        256     99.9%   (0.3%)
        512     99.6%   (2%)
        1024    97.6%   (6.3%)
        2048    91.3%   (10.4%)
        4096    80.9%   (42.1%)
        8192    38.8%   (38.8%)
86000   avg = 93054     max = 234124
        256     100%    (0.1%)
        512     99.9%   (1.3%)
        1024    98.6%   (4.6%)
        2048    94%     (12.8%)
        4096    81.2%   (43.2%)
        8192    38%     (37.8%)
        16384   0.2%    (0.2%)
87000   avg = 94989     max = 244584
        256     100%    (0.2%)
        512     99.8%   (1.3%)
        1024    98.5%   (4.8%)
        2048    93.7%   (11.3%)
        4096    82.4%   (42.1%)
        8192    40.3%   (40%)
        16384   0.3%    (0.3%)
88000   avg = 92940     max = 228888
        256     100%    (0.3%)
        512     99.7%   (2.2%)
        1024    97.5%   (4.8%)
        2048    92.7%   (12.2%)
        4096    80.5%   (41.5%)
        8192    39%     (38.9%)
        16384   0.1%    (0.1%)
89000   avg = 95213.9   max = 247400
        64      100%    (0.1%)
        128     99.9%   (0.1%)
        512     99.8%   (0.8%)
        1024    99%     (4.3%)
        2048    94.7%   (12.9%)
        4096    81.8%   (40.6%)
        8192    41.2%   (40.6%)
        16384   0.6%    (0.6%)
90000   avg = 94126.6   max = 247328
        256     100%    (0.1%)
        512     99.9%   (0.8%)
        1024    99.1%   (6.4%)
        2048    92.7%   (11.7%)
        4096    81%     (41%)
        8192    40%     (39.5%)
        16384   0.5%    (0.5%)
91000   avg = 93529.5   max = 215724
        64      100%    (0.1%)
        256     99.9%   (0.1%)
        512     99.8%   (1.3%)
        1024    98.5%   (5.4%)
        2048    93.1%   (12.2%)
        4096    80.9%   (41.3%)
        8192    39.6%   (39.5%)
        16384   0.1%    (0.1%)
92000   avg = 92731     max = 194808
        512     100%    (1.2%)
        1024    98.8%   (4.4%)
        2048    94.4%   (11.9%)
        4096    82.5%   (43.8%)
        8192    38.7%   (38.7%)
93000   avg = 92633.5   max = 251772
        64      100%    (0.1%)
        512     99.9%   (1%)
        1024    98.9%   (5.9%)
        2048    93%     (13.1%)
        4096    79.9%   (42.4%)
        8192    37.5%   (37.3%)
        16384   0.2%    (0.2%)
94000   avg = 93991.3   max = 284780
        64      100%    (0.1%)
        256     99.9%   (0.3%)
        512     99.6%   (1.2%)
        1024    98.4%   (5.3%)
        2048    93.1%   (11%)
        4096    82.1%   (43.9%)
        8192    38.2%   (37.6%)
        16384   0.6%    (0.6%)
95000   avg = 93854.6   max = 229972
        512     100%    (1.9%)
        1024    98.1%   (6.1%)
        2048    92%     (11.4%)
        4096    80.6%   (40%)
        8192    40.6%   (40.3%)
        16384   0.3%    (0.3%)
96000   avg = 93974.5   max = 283408
        128     100%    (0.1%)
        256     99.9%   (0.1%)
        512     99.8%   (1.5%)
        1024    98.3%   (5.2%)
        2048    93.1%   (13.3%)
        4096    79.8%   (40.2%)
        8192    39.6%   (39.2%)
        16384   0.4%    (0.4%)
97000   avg = 93540.9   max = 218176
        256     100%    (0.1%)
        512     99.9%   (1.1%)
        1024    98.8%   (3.5%)
        2048    95.3%   (13.7%)
        4096    81.6%   (42.4%)
        8192    39.2%   (39.2%)
98000   avg = 95105.6   max = 272120
        64      100%    (0.1%)
        128     99.9%   (0.1%)
        256     99.8%   (0.2%)
        512     99.6%   (2.1%)
        1024    97.5%   (4.1%)
        2048    93.4%   (11.3%)
        4096    82.1%   (41.4%)
        8192    40.7%   (40.6%)
        16384   0.1%    (0.1%)
99000   avg = 95646.2   max = 223288
        32      100%    (0.1%)
        64      99.9%   (0.1%)
        256     99.8%   (0.1%)
        512     99.7%   (1.9%)
        1024    97.8%   (5%)
        2048    92.8%   (11.3%)
        4096    81.5%   (39.6%)
        8192    41.9%   (41.8%)
        16384   0.1%    (0.1%)
100000  avg = 94648.9   max = 246128
        256     100%    (0.2%)
        512     99.8%   (1.6%)
        1024    98.2%   (5%)
        2048    93.2%   (11%)
        4096    82.2%   (42.8%)
        8192    39.4%   (39.1%)
        16384   0.3%    (0.3%)
101000  avg = 93751.7   max = 290404
        512     100%    (1.9%)
        1024    98.1%   (4.2%)
        2048    93.9%   (12.9%)
        4096    81%     (41.9%)
        8192    39.1%   (38.9%)
        16384   0.2%    (0.2%)
102000  avg = 94726.6   max = 263604
        32      100%    (0.1%)
        256     99.9%   (0.5%)
        512     99.4%   (1.6%)
        1024    97.8%   (5.5%)
        2048    92.3%   (13%)
        4096    79.3%   (37.8%)
        8192    41.5%   (41.3%)
        16384   0.2%    (0.2%)
103000  avg = 95076.7   max = 286416
        256     100%    (0.2%)
        512     99.8%   (1.2%)
        1024    98.6%   (4.2%)
        2048    94.4%   (12.8%)
        4096    81.6%   (42.3%)
        8192    39.3%   (38.8%)
        16384   0.5%    (0.5%)
104000  avg = 96900.1   max = 281456
        32      100%    (0.1%)
        256     99.9%   (0.1%)
        512     99.8%   (1.1%)
        1024    98.7%   (5%)
        2048    93.7%   (12.1%)
        4096    81.6%   (40.2%)
        8192    41.4%   (41%)
        16384   0.4%    (0.4%)
105000  avg = 94356.7   max = 248024
        64      100%    (0.1%)
        256     99.9%   (0.2%)
        512     99.7%   (1.3%)
        1024    98.4%   (4.9%)
        2048    93.5%   (11.3%)
        4096    82.2%   (41.8%)
        8192    40.4%   (40.2%)
        16384   0.2%    (0.2%)
106000  avg = 95050.6   max = 290504
        256     100%    (0.3%)
        512     99.7%   (1.5%)
        1024    98.2%   (4.9%)
        2048    93.3%   (13.1%)
        4096    80.2%   (39%)
        8192    41.2%   (40.8%)
        16384   0.4%    (0.4%)
107000  avg = 97330.6   max = 261152
        512     100%    (1.5%)
        1024    98.5%   (4.3%)
        2048    94.2%   (11.1%)
        4096    83.1%   (40.6%)
        8192    42.5%   (42.2%)
        16384   0.3%    (0.3%)
108000  avg = 97237     max = 246260
        128     100%    (0.1%)
        256     99.9%   (0.1%)
        512     99.8%   (0.8%)
        1024    99%     (4.5%)
        2048    94.5%   (10.9%)
        4096    83.6%   (39.9%)
        8192    43.7%   (43.6%)
        16384   0.1%    (0.1%)
109000  avg = 94074     max = 286348
        256     100%    (0.1%)
        512     99.9%   (1.3%)
        1024    98.6%   (4.6%)
        2048    94%     (13%)
        4096    81%     (41.7%)
        8192    39.3%   (39%)
        16384   0.3%    (0.3%)
110000  avg = 97689.9   max = 252692
        256     100%    (0.2%)
        512     99.8%   (1.2%)
        1024    98.6%   (4.7%)
        2048    93.9%   (11.1%)
        4096    82.8%   (40.3%)
        8192    42.5%   (42%)
        16384   0.5%    (0.5%)
111000  avg = 98868.2   max = 246780
        256     100%    (0.4%)
        512     99.6%   (1%)
        1024    98.6%   (4.4%)
        2048    94.2%   (12.4%)
        4096    81.8%   (37.1%)
        8192    44.7%   (44.4%)
        16384   0.3%    (0.3%)
112000  avg = 97396     max = 228308
        256     100%    (0.2%)
        512     99.8%   (1.5%)
        1024    98.3%   (5.6%)
        2048    92.7%   (9.5%)
        4096    83.2%   (40.9%)
        8192    42.3%   (42%)
        16384   0.3%    (0.3%)
113000  avg = 96879.8   max = 192596
        256     100%    (0.3%)
        512     99.7%   (1.6%)
        1024    98.1%   (4.7%)
        2048    93.4%   (11.8%)
