TDL2048-Demo
alpha = 0.1
total = 100000
seed = 0
6-tuple pattern 012345, size = 16777216 (64MB)
6-tuple pattern 456789, size = 16777216 (64MB)
6-tuple pattern 012456, size = 16777216 (64MB)
6-tuple pattern 45689a, size = 16777216 (64MB)
Game#   tile    %achieved %with max tile
        8192    2.8%    (2.8%)
57000   avg = 53675.3   max = 164600
        256     100%    (0.3%)
        512     99.7%   (2.3%)
        1024    97.4%   (10%)
        2048    87.4%   (34.4%)
        4096    53%     (49.5%)
        8192    3.5%    (3.5%)
58000   avg = 53194.7   max = 160208
        256     100%    (0.3%)
        512     99.7%   (3%)
        1024    96.7%   (10.4%)
        2048    86.3%   (34%)
        4096    52.3%   (48.1%)
        8192    4.2%    (4.2%)
59000   avg = 54830.8   max = 173188
        256     100%    (0.2%)
        512     99.8%   (0.7%)
        1024    99.1%   (11.3%)
        2048    87.8%   (33.8%)
        4096    54%     (50.2%)
        8192    3.8%    (3.8%)
60000   avg = 54557.2   max = 170272
        256     100%    (0.3%)
        512     99.7%   (1.9%)
        1024    97.8%   (10.6%)
        2048    87.2%   (33.2%)
        4096    54%     (49.7%)
        8192    4.3%    (4.3%)
61000   avg = 56089     max = 159020
        256     100%    (0.1%)
        512     99.9%   (1.6%)
        1024    98.3%   (10.2%)
        2048    88.1%   (33.6%)
        4096    54.5%   (49.7%)
        8192    4.8%    (4.8%)
62000   avg = 55412.9   max = 153188
        256     100%    (0.2%)
        512     99.8%   (0.9%)
        1024    98.9%   (11.2%)
        2048    87.7%   (32.5%)
        4096    55.2%   (50.5%)
        8192    4.7%    (4.7%)
63000   avg = 55467.4   max = 144416
        512     100%    (1.8%)
        1024    98.2%   (10.4%)
        2048    87.8%   (32.7%)
        4096    55.1%   (51%)
        8192    4.1%    (4.1%)
64000   avg = 56754     max = 158928
        256     100%    (0.1%)
        512     99.9%   (1.6%)
        1024    98.3%   (11.6%)
        2048    86.7%   (28.7%)
        4096    58%     (53.1%)
        8192    4.9%    (4.9%)
65000   avg = 56514.9   max = 174456
        256     100%    (0.2%)
        512     99.8%   (1.7%)
        1024    98.1%   (10.3%)
        2048    87.8%   (30.6%)
        4096    57.2%   (52.8%)
        8192    4.4%    (4.4%)
66000   avg = 56885.3   max = 165876
        256     100%    (0.4%)
        512     99.6%   (2.1%)
        1024    97.5%   (8.7%)
        2048    88.8%   (31.4%)
        4096    57.4%   (52.7%)
        8192    4.7%    (4.7%)
67000   avg = 58522.2   max = 167088
        64      100%    (0.2%)
        256     99.8%   (0.2%)
        512     99.6%   (2.1%)
        1024    97.5%   (10.4%)
        2048    87.1%   (27.7%)
        4096    59.4%   (53%)
        8192    6.4%    (6.4%)
68000   avg = 57481.1   max = 167572
        128     100%    (0.4%)
        256     99.6%   (0.1%)
        512     99.5%   (1.7%)
        1024    97.8%   (10.3%)
        2048    87.5%   (29.5%)
        4096    58%     (52.3%)
        8192    5.7%    (5.7%)
69000   avg = 58593.7   max = 164500
        64      100%    (0.1%)
        256     99.9%   (0.4%)
        512     99.5%   (1.9%)
        1024    97.6%   (8.6%)
        2048    89%     (28.6%)
        4096    60.4%   (54.2%)
        8192    6.2%    (6.2%)
70000   avg = 57324.4   max = 169876
        32      100%    (0.1%)
        256     99.9%   (0.3%)
        512     99.6%   (1.7%)
        1024    97.9%   (9.9%)
        2048    88%     (30.3%)
        4096    57.7%   (51.8%)
        8192    5.9%    (5.9%)
71000   avg = 58507.4   max = 222132
        256     100%    (0.3%)
        512     99.7%   (2.1%)
        1024    97.6%   (10.3%)
        2048    87.3%   (27.9%)
        4096    59.4%   (52.7%)
        8192    6.7%    (6.6%)
        16384   0.1%    (0.1%)
72000   avg = 59257.5   max = 172644
        256     100%    (0.3%)
        512     99.7%   (1.1%)
        1024    98.6%   (9.6%)
        2048    89%     (29%)
        4096    60%     (53.6%)
        8192    6.4%    (6.4%)
73000   avg = 59862.4   max = 167320
        256     100%    (0.3%)
        512     99.7%   (2.1%)
        1024    97.6%   (8.7%)
        2048    88.9%   (26.5%)
        4096    62.4%   (55.2%)
        8192    7.2%    (7.2%)
74000   avg = 60382.8   max = 168492
        64      100%    (0.1%)
        256     99.9%   (0.2%)
        512     99.7%   (1.7%)
        1024    98%     (9.1%)
        2048    88.9%   (25.2%)
        4096    63.7%   (57%)
        8192    6.7%    (6.7%)
75000   avg = 60485.1   max = 168036
        64      100%    (0.1%)
        256     99.9%   (0.4%)
        512     99.5%   (1.7%)
        1024    97.8%   (8.6%)
        2048    89.2%   (25.2%)
        4096    64%     (56.8%)
        8192    7.2%    (7.2%)
76000   avg = 62682.4   max = 176504
        256     100%    (0.3%)
        512     99.7%   (0.9%)
        1024    98.8%   (8.6%)
        2048    90.2%   (24.4%)
        4096    65.8%   (57%)
        8192    8.8%    (8.8%)
77000   avg = 61069.3   max = 178236
        256     100%    (0.2%)
        512     99.8%   (1.5%)
        1024    98.3%   (10.8%)
        2048    87.5%   (26%)
        4096    61.5%   (52.9%)
        8192    8.6%    (8.6%)
78000   avg = 61531.2   max = 162988
        64      100%    (0.1%)
        256     99.9%   (0.1%)
        512     99.8%   (1.5%)
        1024    98.3%   (8.3%)
        2048    90%     (25.8%)
        4096    64.2%   (56.9%)
        8192    7.3%    (7.3%)
79000   avg = 62309.7   max = 173304
        64      100%    (0.1%)
        256     99.9%   (0.2%)
        512     99.7%   (0.9%)
        1024    98.8%   (8.9%)
        2048    89.9%   (25.6%)
        4096    64.3%   (55.8%)
        8192    8.5%    (8.5%)
80000   avg = 64408.5   max = 168968
        256     100%    (0.4%)
        512     99.6%   (1.5%)
        1024    98.1%   (7.6%)
        2048    90.5%   (22.6%)
        4096    67.9%   (58.8%)
        8192    9.1%    (9.1%)
81000   avg = 62556.6   max = 175604
        256     100%    (0.4%)
        512     99.6%   (1.3%)
        1024    98.3%   (10%)
        2048    88.3%   (24.4%)
        4096    63.9%   (54.9%)
        8192    9%      (9%)
82000   avg = 63890.9   max = 168920
        64      100%    (0.1%)
        256     99.9%   (0.4%)
        512     99.5%   (1.1%)
        1024    98.4%   (8.1%)
        2048    90.3%   (25.2%)
        4096    65.1%   (54.9%)
        8192    10.2%   (10.2%)
83000   avg = 61687.7   max = 171516
        32      100%    (0.1%)
        256     99.9%   (0.2%)
        512     99.7%   (0.6%)
        1024    99.1%   (8.8%)
        2048    90.3%   (26.9%)
        4096    63.4%   (55.7%)
        8192    7.7%    (7.7%)
84000   avg = 63592.2   max = 190048
        256     100%    (0.2%)
        512     99.8%   (1.2%)
        1024    98.6%   (8.7%)
        2048    89.9%   (26.2%)
        4096    63.7%   (52.2%)
        8192    11.5%   (11.5%)
85000   avg = 65102.8   max = 168096
        256     100%    (0.4%)
        512     99.6%   (1.5%)
        1024    98.1%   (9.1%)
        2048    89%     (22.5%)
        4096    66.5%   (54.4%)
        8192    12.1%   (12.1%)
86000   avg = 64752.1   max = 173208
        256     100%    (0.6%)
        512     99.4%   (2%)
        1024    97.4%   (7.5%)
        2048    89.9%   (23.8%)
        4096    66.1%   (55.3%)
        8192    10.8%   (10.8%)
87000   avg = 67401.8   max = 189732
        128     100%    (0.1%)
        256     99.9%   (0.3%)
        512     99.6%   (1.1%)
        1024    98.5%   (7.8%)
        2048    90.7%   (22.5%)
        4096    68.2%   (55.1%)
        8192    13.1%   (13.1%)
88000   avg = 63638.6   max = 188760
        128     100%    (0.1%)
        256     99.9%   (0.4%)
        512     99.5%   (1.2%)
        1024    98.3%   (9.3%)
        2048    89%     (24.6%)
        4096    64.4%   (54.4%)
        8192    10%     (10%)
89000   avg = 65077.4   max = 168368
        256     100%    (0.1%)
        512     99.9%   (1.1%)
        1024    98.8%   (8%)
        2048    90.8%   (23.1%)
        4096    67.7%   (56.6%)
        8192    11.1%   (11.1%)
90000   avg = 65179     max = 172784
        256     100%    (0.1%)
        512     99.9%   (1.8%)
        1024    98.1%   (8.6%)
        2048    89.5%   (21.9%)
        4096    67.6%   (56.6%)
        8192    11%     (11%)
91000   avg = 65931.7   max = 164412
        256     100%    (0.2%)
        512     99.8%   (1.4%)
        1024    98.4%   (7.7%)
        2048    90.7%   (21.7%)
        4096    69%     (57.4%)
        8192    11.6%   (11.6%)
92000   avg = 64796     max = 171716
        256     100%    (0.2%)
        512     99.8%   (1.5%)
        1024    98.3%   (7.7%)
        2048    90.6%   (26.5%)
        4096    64.1%   (52.3%)
        8192    11.8%   (11.8%)
93000   avg = 68598.3   max = 177148
        64      100%    (0.1%)
        512     99.9%   (1.2%)
        1024    98.7%   (8.2%)
        2048    90.5%   (19.6%)
        4096    70.9%   (57.5%)
        8192    13.4%   (13.4%)
94000   avg = 65843.3   max = 173544
        256     100%    (0.2%)
        512     99.8%   (1.5%)
        1024    98.3%   (7.3%)
        2048    91%     (23.7%)
        4096    67.3%   (55.7%)
        8192    11.6%   (11.6%)
95000   avg = 68162.1   max = 173988
        256     100%    (0.3%)
        512     99.7%   (1.5%)
        1024    98.2%   (8.2%)
        2048    90%     (20.2%)
        4096    69.8%   (55.7%)
        8192    14.1%   (14.1%)
96000   avg = 66841.6   max = 169756
        256     100%    (0.4%)
        512     99.6%   (1.4%)
        1024    98.2%   (7.2%)
        2048    91%     (22.8%)
        4096    68.2%   (55.5%)
        8192    12.7%   (12.7%)
97000   avg = 68533.1   max = 169640
        256     100%    (0.3%)
        512     99.7%   (1.5%)
        1024    98.2%   (7.4%)
        2048    90.8%   (20.4%)
        4096    70.4%   (56.6%)
        8192    13.8%   (13.8%)
98000   avg = 69652.5   max = 177240
        256     100%    (0.4%)
        512     99.6%   (1%)
        1024    98.6%   (7.9%)
        2048    90.7%   (19.5%)
        4096    71.2%   (55.6%)
        8192    15.6%   (15.6%)
99000   avg = 70010.9   max = 172852
        256     100%    (0.3%)
        512     99.7%   (1%)
        1024    98.7%   (7.6%)
        2048    91.1%   (20%)
        4096    71.1%   (55.5%)
        8192    15.6%   (15.6%)
100000  avg = 69329.8   max = 176296
        256     100%    (0.3%)
        512     99.7%   (1.3%)
        1024    98.4%   (7.3%)
        2048    91.1%   (20.3%)
        4096    70.8%   (55.5%)
        8192    15.3%   (15.3%)
