Game Number,Score,Largest Tile,Sum of Tiles,Number of Merges,Losing Configuration
23,7400,512,1100,534,"8,32,4,8,64,512,128,256,16,32,16,8,2,8,4,2"
24,7200,512,1066,517,"4,16,4,2,32,128,32,8,512,16,8,256,4,8,32,4"
25,3528,256,630,299,"2,16,64,4,8,256,16,32,64,128,8,4,2,8,16,2"
26,5312,512,790,379,"2,8,4,16,4,128,32,4,32,16,512,2,2,4,8,16"
27,7392,512,1098,533,"4,16,8,4,256,32,128,32,8,512,64,4,4,16,8,2"
28,7788,512,1174,571,"4,8,32,4,64,128,256,64,32,512,32,8,16,8,4,2"
29,7248,512,1062,515,"8,4,16,4,4,128,512,2,16,32,256,64,2,8,4,2"
30,5472,512,814,391,"4,8,16,4,2,4,128,64,8,512,8,4,2,16,32,2"
31,16072,1024,2036,1002,"8,16,4,16,16,64,256,8,8,512,64,4,2,1024,32,2"
32,12412,1024,1586,777,"4,2,16,8,128,1024,256,4,16,64,16,2,2,4,32,8"
33,7328,512,1078,523,"4,32,16,4,128,64,4,2,4,32,256,8,2,8,2,512"
34,14856,1024,1876,922,"32,4,16,8,128,64,1024,32,16,512,16,8,2,8,4,2"
35,6556,512,960,464,"4,16,4,2,8,32,8,16,512,8,256,8,16,4,64,2"
36,12584,1024,1622,795,"2,64,32,4,8,1024,256,8,32,128,32,4,2,8,16,2"
37,12496,1024,1604,786,"4,1024,4,16,8,32,256,128,64,16,8,4,2,4,32,2"
38,16716,1024,2100,1034,"4,1024,4,2,8,512,8,128,128,256,2,4,8,2,8,2"
39,6336,512,958,463,"4,128,4,2,16,32,64,16,4,512,128,32,2,8,4,2"
40,12912,1024,1670,819,"8,64,2,64,2,4,32,4,1024,64,128,8,4,256,4,2"
41,6512,512,944,456,"4,16,4,2,16,256,32,64,4,2,512,4,2,8,16,2"
42,6012,512,922,445,"4,32,8,2,512,16,64,32,4,128,16,4,2,64,32,2"
43,12428,1024,1592,780,"8,16,4,2,16,64,1024,8,4,256,16,32,2,128,8,4"
44,16268,1024,2050,1009,"2,4,32,2,16,1024,128,4,8,512,32,256,4,16,8,2"
45,14412,1024,1786,877,"4,128,8,2,16,512,32,16,8,1024,8,4,2,16,4,2"
46,16504,1024,2094,1031,"8,512,8,2,16,256,16,128,4,32,1024,16,2,64,4,2"
47,12384,1024,1580,774,"4,16,8,16,64,32,256,4,4,8,128,8,2,1024,4,2"
48,7436,512,1110,539,"16,8,4,16,32,128,512,32,8,16,256,4,4,64,8,2"
49,6360,512,926,447,"8,16,8,4,2,32,256,32,16,512,16,8,2,8,4,2"
50,6976,512,1014,491,"4,16,4,2,8,128,256,16,4,512,32,4,2,16,8,2"
51,3488,256,620,294,"16,4,16,4,8,64,256,64,4,128,32,8,2,8,4,2"
52,12552,1024,1620,794,"8,1024,16,4,16,32,128,16,8,64,256,4,2,32,8,2"
53,12080,1024,1524,746,"16,4,8,4,8,128,1024,8,4,32,16,4,2,256,8,2"
54,14768,1024,1852,910,"4,1024,4,2,64,8,16,8,4,512,128,4,32,8,32,2"
55,12716,1024,1642,805,"2,16,64,16,4,128,256,8,1024,64,32,2,2,4,16,4"
56,7656,512,1142,555,"2,8,4,64,256,128,32,8,16,32,512,64,2,8,4,2"
57,7296,512,1076,522,"4,32,16,8,16,128,512,4,4,256,64,8,2,16,4,2"
58,5200,512,766,367,"16,4,8,4,4,32,128,16,2,512,8,4,8,2,16,2"
59,5120,512,772,370,"4,2,8,4,8,64,512,8,32,8,32,4,4,64,16,2"
60,12540,1024,1616,792,"4,16,32,4,32,128,256,16,8,1024,8,64,2,16,4,2"
61,7524,512,1128,548,"128,8,4,2,8,32,512,32,16,256,16,64,8,32,8,2"
62,7992,512,1182,575,"8,16,4,2,256,128,8,512,8,32,64,4,2,128,8,2"
63,7376,512,1092,530,"4,256,16,8,64,512,32,4,4,8,16,128,2,32,4,2"
64,6684,512,980,474,"2,8,32,2,4,512,64,4,2,32,256,32,16,4,2,8"
65,15460,1024,1954,961,"4,8,4,2,128,512,1024,32,2,64,128,4,4,32,4,2"
66,14180,1024,1832,900,"256,4,16,2,4,128,1024,4,32,64,256,16,4,16,4,2"
67,12060,1024,1544,756,"4,8,4,2,8,1024,32,64,64,32,256,16,16,8,4,2"
68,16476,1024,2088,1028,"4,8,1024,2,16,64,16,128,512,256,32,8,4,8,4,2"
69,11800,1024,1490,729,"256,4,2,8,2,64,32,2,8,32,1024,32,2,16,4,2"
70,7376,512,1092,530,"512,4,32,2,8,16,64,4,4,256,32,8,128,16,4,2"
71,12160,1024,1564,766,"16,4,64,4,64,32,1024,32,8,256,16,4,2,4,32,2"
72,5836,512,888,428,"8,512,64,8,4,16,128,2,16,64,32,16,4,8,4,2"
73,15232,1024,1918,943,"8,128,4,32,16,32,512,4,2,16,1024,128,4,2,4,2"
74,15848,1024,1996,982,"4,32,16,2,64,8,512,8,4,256,1024,16,2,8,32,8"
75,6960,512,1036,502,"4,16,4,32,16,32,64,16,64,256,512,4,2,4,8,2"
76,6944,512,1006,487,"4,16,128,4,8,512,32,2,4,256,16,8,2,8,4,2"
77,16268,1024,2050,1009,"2,4,32,2,1024,128,512,8,16,32,8,256,4,16,4,2"
78,16444,1024,2080,1024,"8,128,8,4,2,32,16,512,8,256,1024,4,4,64,8,2"
79,14720,1024,1844,906,"4,16,4,32,64,128,16,8,16,512,1024,4,2,4,8,2"
80,7420,512,1104,536,"4,32,8,2,8,128,16,512,16,256,32,4,4,64,16,2"
81,3296,256,588,278,"4,32,8,4,64,128,16,256,8,32,8,4,2,4,16,2"
82,7424,512,1100,534,"4,32,8,2,8,128,64,4,4,32,512,32,2,256,8,4"
83,5936,512,902,435,"4,64,4,2,8,128,32,8,32,512,64,4,2,4,32,2"
84,3212,256,570,269,"4,256,8,2,16,8,16,64,4,32,128,4,2,8,16,2"
85,7404,512,1098,533,"2,32,8,4,16,256,32,16,4,64,512,4,2,16,128,2"
86,7388,512,1096,532,"4,8,512,16,32,128,256,4,16,64,32,2,2,8,4,8"
87,15996,1024,2016,992,"8,2,8,4,64,32,64,256,8,1024,16,4,4,512,8,2"
88,16492,1024,2090,1029,"2,4,16,4,16,256,64,8,1024,32,128,4,2,16,512,2"
89,14684,1024,1834,901,"8,4,16,8,1024,64,128,2,4,16,512,32,2,8,4,2"
90,12792,1024,1656,812,"2,64,16,8,16,1024,32,4,128,64,256,2,2,4,2,32"
91,15000,1024,1894,931,"4,8,1024,8,64,512,64,4,16,128,16,2,2,8,2,32"
92,7824,512,1156,562,"32,16,4,2,4,128,512,32,8,256,16,4,4,128,8,2"
93,12568,1024,1626,797,"4,16,8,4,8,64,32,16,128,16,256,8,8,1024,32,2"
94,15084,1024,1912,940,"4,64,4,2,32,512,8,32,4,128,16,1024,8,64,8,2"
95,14812,1024,1864,916,"4,1024,16,8,8,64,32,128,512,16,8,4,2,4,32,2"
96,7576,512,1126,547,"2,8,32,16,64,256,128,8,16,512,64,4,4,2,8,2"
97,6764,512,988,478,"2,256,8,4,4,512,64,2,8,64,32,8,2,4,16,2"
98,6668,512,984,476,"4,8,4,256,16,32,16,8,8,512,64,4,2,32,16,2"
99,7376,512,1092,530,"128,4,16,2,8,32,256,4,16,64,8,32,4,512,4,2"
